date,rawContent,url,replyCount,retweetCount,likeCount,sentiment
2024-04-03T10:41:59+00:00,"Tesla lease sales declined to a 2% DESPITE extremely generous lease rates...

imo, Tesla must stop the Elon dogma of not allowing customers to buy the leased car at end of lease.

It may be good to experiment with new lease terms this quarter. 

Though a vast majority of lease buyers never exercise the option to buy, Tesla needs to give people the option WHILE it works through the Osborning of the Model Y as educated consumers wait for Model Y+.

imo, this issue may be one reason Zach retired. People quit when they feel they aren't being listened to.",https://twitter.com/bradsferguson/status/1775473817109803228,36,10,246,1
2024-04-04T17:25:50+00:00,@EvasTeslaSPlaid @Tesla still waiting for it to go below $150 to buy some ... 😂,https://twitter.com/diydatascience/status/1775937838355529883,5,0,11,0
2024-04-02T14:43:22+00:00,"Speaking for myself.
I will never buy a Tesla.",https://twitter.com/RunTanPum/status/1775172174199861465,3,3,11,0
2024-04-02T14:16:48+00:00,@AartsMichael @JesseJ468 Musk is radioactive as a brand.    Tesla will never sell cars in enough numbers to make money while he is associated with it,https://twitter.com/stochasticman99/status/1775165490714780107,3,1,23,0
2024-04-04T14:11:58+00:00,Why is it that every time I see one of these testimonies about how a Tesla almost obliterated another family they always start out with “I love my Tesla and my cybertruck but…” like do they give you free top when you buy it or something like why the caveat of fealty up front,https://twitter.com/tarenceray/status/1775889050483773691,9,14,213,1
2024-04-04T03:04:06+00:00,Did anyone ask Elon if this is happening because of DEI https://t.co/dwmsN8IDYX,https://twitter.com/Whatapityonyou/status/1775720977118441666,64,620,4897,0
2024-04-04T23:45:53+00:00,"@teslascope @Tesla 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ I literally refused to buy a Porsche Taycan because I trusted your words man, because I wanted a Tesla and like me many others did this. https://t.co/YRNMU6feeF",https://twitter.com/keeevTESLA/status/1776033482050781389,4,0,4,1
2024-03-20T23:58:00+00:00,"SIMBA's New 200GB Plan is here 📢

👉 Get 200GB for first 6 cycles. 
👉 300 IDD mins to 21 destinations.
👉 Only $12 per 30 days.

✨ Sign Up Now ✨ https://t.co/hs4iJBL8Id",https://twitter.com/SimbaTelecomSG/status/1770600710553706815,1,0,31,1
2024-03-30T05:08:21+00:00,"If this Parlay hits on Saturday night, I’ll buy one of my followers a Tesla Model Y. 

(Yes, for real.) Just interact with this tweet if you follow me. https://t.co/PnPH7mOtK0",https://twitter.com/DotComParker/status/1773940304498065452,480,409,889,1
2024-04-03T13:27:56+00:00,"i don’t buy the view that @elonmusk’s politics are hitting tesla sales growth. the #1 culprit, by far, is lack of awareness. i interact with people everyday who like the concept of EVs but are very worried about range, charging, and battery longevity. many still think teslas are expensive vs the camry or accord.",https://twitter.com/freshjiva/status/1775515582399410615,185,44,714,1
2024-03-31T17:10:11+00:00,It still amazes me how many Tesla Bulls didn’t buy or subscribe to Full Self-Driving.  🤯,https://twitter.com/MissJilianne/status/1774484349783769222,56,8,233,1
2024-04-02T18:05:09+00:00,"\"ill never buy a tesla because the CEO is bad\" guys when buying any other product on the planet 👨‍🦯👩‍🦯👨‍🦯👩‍🦯",https://twitter.com/ceeeee_eeeee/status/1775222957679259691,3,1,7,
2024-04-02T15:53:26+00:00,Is this a good time to buy $TSLA?,https://twitter.com/TeslaAndDoge/status/1775189808429625478,52,2,134,1
